Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Don Hankey,80,$7.4B,Finance & Investments,Auto loans,Chairman,Hankey Group,TRUE,7,1,"Malibu, California",United States,M,Married,4,"Bachelor of Arts/Science, University of Southern California"
Niels Peter Louis-Hansen,76,$7.4B,Healthcare,Medical devices,Deputy Chairman and Owner,Coloplast,FALSE,,,"Humlebaek, Denmark",Denmark,M,Married,1,"Bachelor of Science, Copenhagen Business School"
Pauline MacMillan Keinath,90,$7.3B,Food & Beverage,Cargill,Shareholder,Cargill Inc,FALSE,1,1,"St. Louis, Missouri",United States,F,Married,4,N/A
John Overdeck,54,$7.3B,Finance & Investments,Hedge funds,Investor,Two Sigma,TRUE,8,2,"MiBachelor of Lawsurn, New Jersey",United States,M,Married,3,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University"
Frederik Paulsen,73,$7.3B,Healthcare,Health care,Ex-Chairman,Ferring,FALSE,,,"Lausanne, Switzerland",Sweden,M,Divorced,3,"Bachelor of Science, Christian Albrechts University, Bachelor of Science, Lund University, Doctor of Philosophy, Ecole des Hautes Etudes en Sciences Sociales"
Jean Salata,58,$7.3B,Finance & Investments,Finance,Founder,BPEA EQT,TRUE,,,"Hong Kong, Hong Kong",Chile,M,Married,4,"Bachelor of Business Administration, University of Pennsylvania, The Wharton School"
Luis Carlos Sarmiento,91,$7.3B,Finance & Investments,Banking,Banker,N/A,TRUE,,,"Bogota, Colombia",Colombia,M,Married,5,"Bachelor of Arts/Science, National University of Colombia"
Reinhold Schmieding,69,$7.3B,Healthcare,Medical devices,President and Founder,Arthrex Inc,TRUE,8,,"Naples, Florida",United States,M,Married,2,"Bachelor of Arts/Science, Michigan State University"
Seo Jung-jin,66,$7.3B,Healthcare,Biotech,Co-founder,Celltrion Inc.,TRUE,,,"Seoul, South Korea",South Korea,M,Married,4,"Bachelor of Arts/Science, Konkuk University; Master of Science, Konkuk University"
David Siegel,62,$7.3B,Finance & Investments,Hedge funds,Investor,Two Sigma,TRUE,8,2,"Scarsdale, New York",United States,M,Married,N/A,"Doctorate, Massachusetts Institute of Technology; Bachelor of Arts/Science, Princeton University"
Charles Simonyi,75,$7.3B,Technology,Microsoft,Founder,"Microsoft Word, Excel",TRUE,6,2,"Medina, Washington",United States,M,Married,2,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley"
Stephen Bisciotti,63,$7.2B,Sports,"Staffing, Baltimore Ravens",Owner,Baltimore Ravens,TRUE,8,2,"Hobe Sound, Florida",United States,M,Married,2,"Bachelor of Arts/Science, Salisbury State University"
John Collison,33,$7.2B,Technology,Payment software,Co-founder,Stripe,TRUE,,,"San Francisco, California",Ireland,M,Single,N/A,"Drop Out, Harvard University"
Patrick Collison,35,$7.2B,Technology,Payment software,Co-founder,Stripe,TRUE,,,"San Francisco, California",Ireland,M,Married,N/A,"Drop Out, Massachusetts Institute of Technology"
Andreas Halvorsen,62,$7.2B,Finance & Investments,Hedge funds,Investor,Viking Global Investors,TRUE,,,"Darien, Connecticut",Norway,M,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Williams College"
Ray Lee Hunt,81,$7.2B,Energy,"Oil, real estate",Chairman,Hunt Consolidated Inc,FALSE,5,2,"Dallas, Texas",United States,M,Married,5,"Bachelor of Arts/Science, Southern Methodist University"
Nathan Kirsh,92,$7.2B,Fashion & Retail,"Retail, real estate",Philanthropist,N/A,TRUE,,,"Ezulwini, Eswatini (Swaziland)",Eswatini (Swaziland),M,Married,3,"Bachelor of Arts/Science, University of Witwatersrand"
Douglas Leone,66,$7.2B,Finance & Investments,Venture capital,Partner,Sequoia,TRUE,9,2,"Atherton, California",United States,M,Married,4,"Master of Science, Columbia University; Bachelor of Arts/Science, Cornell University; Master of Business Administration, MIT Sloan School of Management"
Philip Ng,65,$7.2B,Real Estate,Real Estate,CEO,Far East Organization,FALSE,,,"Singapore, Singapore",Singapore,M,N/A,N/A,"Bachelor of Science in Engineering, Kings College London; Masters of Science in Technology, Massachusetts Institute of Technology (MIT)"
Finn Rausing,69,$7.2B,Food & Beverage,Packaging,Co-Owner,Tetra Laval,FALSE,,,"London, United Kingdom",Sweden,M,N/A,N/A,"Bachelor of Laws, Lund University, Master of Business Administration, INSEAD"
Jorn Rausing,64,$7.2B,Food & Beverage,Packaging,Co-Owner,Tetra Laval,FALSE,,,"Surrey, United Kingdom",Sweden,M,N/A,N/A,N/A
Kirsten Rausing,71,$7.2B,Food & Beverage,Packaging,Chairman,Breeders Federation,FALSE,,,"Newmarket, United Kingdom",Sweden,F,N/A,N/A,"Bachelor of Arts, University of London"
"Robert Rich, Jr.",83,$7.2B,Food & Beverage,Frozen foods,Chairman and Majority Owner,Rich Products,FALSE,5,1,"Islamorada, Florida",United States,M,Married,4,"Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College"
Johann Graf,77,$7.1B,Gambling & Casinos,Gambling,Founder and Owner,Novomatic,TRUE,,,"Vienna, Austria",Austria,M,Divorced,3,N/A
Pedro Moreira Salles,64,$7.1B,Diversified,"Banking, minerals",Chairman,Itaú Unibanco,FALSE,,,"Sao Paulo, Brazil",Brazil,M,Married,2,"Bachelor of Arts/Science, University of California, Los Angeles"
Robert Ng,72,$7.1B,Real Estate,Real estate,Chairman,Sino Group,FALSE,,,"Singapore, Singapore",Singapore,M,Married,N/A,"Law Degree, Middle Temple"
"Edward Roski, Jr.",85,$7.1B,Real Estate,Real estate,President and Chairman,"Majestic Realty, Co.",FALSE,5,1,"Los Angeles, California",United States,M,Widowed,3,"Bachelor of Arts/Science, University of Southern California"
Nadia Thiele,48,$7.1B,Finance & Investments,Investments,Ex-Chairman,Knorr-Bremse AG,FALSE,,,"Munich, Germany",Germany,F,Widowed,1,N/A
Wang Yusuo & family,60,$7.1B,Energy,Natural gas distribution,Founder,ENN Group,TRUE,,,"Langfang, China",China,M,Married,N/A,"Bachelor of Arts/Science, People's University of China; Doctorate, Tianjin University"
Edythe Broad & family,88,$7B,Diversified,"Homebuilding, insurance",Philanthropist,N/A,FALSE,1,5,"Los Angeles, California",United States,F,Widowed,2,N/A
Gopikishan Damani,66,$7B,Fashion & Retail,"Retail, investments",Retailer,Avenue Supermart,TRUE,,,"Mumbai, India",India,M,Married,2,N/A
Arthur Dantchik,66,$7B,Finance & Investments,"Trading, investments",Co-founder,Susquehanna International Group,TRUE,8,2,"Gladwyne, Pennsylvania",United States,M,Single,N/A,"Bachelor of Science, SUNY Binghamton"
Thomas Schmidheiny,78,$7B,Construction & Engineering,Cement,Chairman,Holcim,FALSE,,,"Jona, Switzerland",Switzerland,M,Married,4,"Doctorate, Tufts University; Bachelor of Arts/Science, Zurich Polytechnic"
Sergio Stevanato & family,81,$7B,Healthcare,Medical packaging,Chairman,Stevanato Group,TRUE,,,"Venice, Italy",Italy,M,Married,2,"Law Degree, University of Ferrara"
Viktor Vekselberg,66,$7B,Diversified,"Metals, investments",Chairman,Renova,TRUE,,,"Moscow, Russia",Russia,M,Married,2,"Master of Science, Moscow State University of Railway Engineering"
Dennis Washington,89,$7B,Logistics,"Construction, mining",Owner,Seaspan Marine Corporation,TRUE,10,3,"Missoula, Montana",United States,M,Married,2,"Diploma, High School"
John Grayken,67,$6.9B,Finance & Investments,Private equity,Founder,Lone Star Funds,TRUE,,,"London, United Kingdom",Ireland,M,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Pennsylvania"
Viktor Kharitonin,51,$6.9B,Healthcare,Pharmaceuticals,Co-Founder,Pharmstandard Pjsc,TRUE,,,"Moscow, Russia",Russia,M,Married,2,"Master of Science, Novosibirsk State University"
Tobi Lutke,43,$6.9B,Technology,E-commerce,Co-Founder and CEO,Shopify,TRUE,8,,"Toronto, Canada",Canada,M,Married,3,N/A
Stefano Pessina,82,$6.9B,Fashion & Retail,Drugstores,Vice Chairman and CEO,Walgreens Boots Alliance,FALSE,,,"Monte Carlo, Monaco",Monaco,M,Married,2,"Bachelor of Engineering, Politecnico di Milano"
Michal Solowow,61,$6.9B,Finance & Investments,Investments,Investor,N/A,TRUE,,,"Kielce, Poland",Poland,M,Married,1,"Master of Science in Engineering, Kielce University of Technology"
Benu Gopal Bangur,92,$6.8B,Manufacturing,Cement,Chairman,Shree Cement,FALSE,,,"Kolkata, India",India,M,Widowed,2,"Bachelor of Arts/Science, Calcutta University"
Bert Beveridge,62,$6.8B,Food & Beverage,Vodka,Founder,Tito's Vodka,TRUE,8,1,"Austin, Texas",United States,M,Married,3,"Bachelor of Arts/Science, University of Texas at Austin"
Lin Muqin & family,60,$6.8B,Food & Beverage,Beverages,Chairman,Eastroc Beverage Group,TRUE,,,"Shenzhen, China",China,M,Married,1,N/A
Terrence Pegula,73,$6.8B,Energy,Natural gas,Owner,Buffalo Sabres,TRUE,9,2,"Boca Raton, Florida",United States,M,Married,5,"Bachelor of Science in Engineering, Pennsylvania State University"
Wang Laisheng,59,$6.8B,Technology,Electronics components,Co-Founder,"Luxshare Precision Industry Co., Ltd",TRUE,,,"Shenzhen, China",Hong Kong,M,N/A,1,N/A
Chip Wilson,67,$6.8B,Fashion & Retail,Lululemon,Chairman,Lululemon,TRUE,,,"Vancouver, Canada",Canada,M,Married,5,"Bachelor of Arts/Science, University of Calgary"
Mike Adenuga,70,$6.7B,Diversified,"Telecom, oil",Founder,Globacom,TRUE,,,"Lagos, Nigeria",Nigeria,M,Married,7,"Master of Business Administration, Pace University"
Vinod Khosla,69,$6.7B,Technology,"Sun Microsystems, venture capital",Investor,Khosla Ventures,TRUE,8,2,"Portola Valley, California",United States,M,Married,4,"Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology; Master of Business Administration, Stanford Graduate School of Business"
Vikram Lal & family,82,$6.7B,Automotive,Motorcycles,Founder and CEO,Eicher Motors,FALSE,,,"Delhi, India",India,M,Married,3,"Bachelor of Science, Technische Universität Darmstadt"
Thomas Pritzker,73,$6.7B,Finance & Investments,"Hotels, investments",Executive Chairman,Hyatt Hotels,FALSE,4,2,"Chicago, Illinois",United States,M,Married,3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago"
Andrei Skoch & family,58,$6.7B,Metals & Mining,Metals and mining,Owner,Lebedinsky Mining,TRUE,,,"Moscow, Russia",Russia,M,Single,10,State Central Institute of Physical Culture
Lynsi Snyder,41,$6.7B,Food & Beverage,In-N-Out Burger,Owner,In-N-Out Burger company,FALSE,3,2,"Glendora, California",United States,F,Married,N/A,N/A
George Soros,93,$6.7B,Finance & Investments,Hedge funds,Founder,Soros Fund Management LLC,TRUE,10,5,"Katonah, New York",United States,M,Married,5,"Bachelor of Arts/Science, London School of Economics"
Radovan Vitek,52,$6.7B,Real Estate,Real estate,Investor,N/A,TRUE,,,"Crans Montana, Switzerland",Czech Republic,M,Married,4,"Law Degree, University of West Bohemia"
Jason Chang,79,$6.6B,Technology,Electronics,Chairman,Semiconductor Engineering,TRUE,,,"Taipei, Taiwan",Singapore,M,Married,3,"Bachelor of Arts/Science, National Taiwan University"
Chen Jianhua,53,$6.6B,Manufacturing,Chemicals,Chairman,Guangzhou People's Congress,TRUE,,,"Suzhou, China",China,M,Married,1,"Bachelor of Arts/Science, Nanjing Normal University"
Andre Esteves,55,$6.6B,Finance & Investments,Banking,Chairman,Banco BTG Pactual,TRUE,,,"Sao paulo, Brazil",Brazil,M,Married,3,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
Alexei Kuzmichev,61,$6.6B,Energy,"Oil, banking, telecom",Founder,LetterOne Group,TRUE,,,"Paris, France",Russia,M,Married,3,"Master of Science, Moscow Institute of Steel and Alloys"
Alain Merieux & family,86,$6.6B,Healthcare,Pharmaceuticals,Founder,Sanofi Pasteur,FALSE,,,"Lyon, France",France,M,Married,3,"PhD in Pharmacy, University of Lyon, PMD, Harvard Business School"
Kerry Stokes,83,$6.6B,Diversified,"Construction equipment, media",Chairman,Institut Mérieux,TRUE,,,"Perth, Australia",Australia,M,Married,4,N/A
Wang Laichun,56,$6.6B,Technology,Electronics components,Co-Founder & Chairwoman,Luxshare-ICT,TRUE,,,"Shenzhen, China",Hong Kong,F,Married,N/A,"Master of Business Administration, Tsinghua University"
Sofie Kirk Kristiansen,48,$6.5B,Manufacturing,Lego,"Businessperson, owner",Lego Group,FALSE,,,"Billund, Denmark",Denmark,F,N/A,N/A,"Bachelor of Arts, Aarhus University"
Thomas Kirk Kristiansen,45,$6.5B,Manufacturing,Lego,Owner,The Lego Group,FALSE,,,"Billund, Denmark",Denmark,M,N/A,N/A,"Degree in marketing, Aarhus Business College"
Frank Lowy,93,$6.5B,Finance & Investments,Investments,Founder,Lowy Institute,TRUE,,,"Tel Aviv, Israel",Australia,M,Widowed,3,N/A
Joe Mansueto,67,$6.5B,Finance & Investments,Investment research,"Entrepreneur, Investor",Morningstar,TRUE,8,2,"Chicago, Illinois",United States,M,Married,3,"Bachelor of Arts/Science, University of Chicago"
Michael Milken,77,$6.5B,Finance & Investments,Investments,Philanthropist,N/A,TRUE,8,3,"Los Angeles, California",United States,M,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School"
Marc Rowan,61,$6.5B,Finance & Investments,Private equity,Co-Founder and Director,Rowan Family Foundation,TRUE,8,2,"New York, New York",United States,M,Married,N/A,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School"
Mark Stevens,64,$6.5B,Finance & Investments,Venture capital,Investor,"Google, Yahoo!, Nvidia, YouTube",TRUE,9,2,"Steamboat Springs, Colorado",United States,M,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California"
Agnete Kirk Thinggaard,40,$6.5B,Manufacturing,Lego,Board Member,Lego Foundation,FALSE,,,"Billund, Denmark",Denmark,F,N/A,N/A,"Bachelor of Science, Aarhus University"
Alexander Abramov,65,$6.4B,Metals & Mining,"Steel, mining",Co-Founder and Chairman,Evraz,TRUE,,,"Moscow, Russia",Russia,M,Married,3,"Doctorate, Moscow Institute of Physics and Technology"
Maria Angelicoussis,42,$6.4B,Logistics,Shipping,CEO and Owner,Angelicoussis Group,FALSE,,,"Athens, Greece",Greece,F,Married,3,"Medical Doctor, Cambridge; University College London"
Patrizio Bertelli,78,$6.4B,Fashion & Retail,Luxury goods,Chairman and Former Co-CEO,Prada,TRUE,,,"Milan, Italy",Italy,M,Married,2,"Master of Business Administration, University of Florence"
Rahel Blocher,48,$6.4B,Manufacturing,Chemicals,Head,Robinvest,FALSE,,,"Wilen bei Wollerau, Switzerland",Switzerland,F,N/A,N/A,N/A
David Bonderman,81,$6.4B,Finance & Investments,Private equity,Co-Founder,TPG Capital,TRUE,7,2,"Fort Worth, Texas",United States,M,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington"
Scott Cook,71,$6.4B,Technology,Software,Chair of the Executive Committee,Intuit,TRUE,8,3,"Woodside, California",United States,M,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California"
Carl Douglas,62,$6.4B,Diversified,Investments,Investor,Latour AB,FALSE,,,"Stockholm, Sweden",Sweden,M,N/A,N/A,"Bachelor of Arts/Science, Middlebury College"
Eric Douglas,55,$6.4B,Diversified,Investments,Owner,Lerner Enterprises,FALSE,,,"Stockholm, Sweden",Sweden,M,Married,N/A,"Bachelor of Arts/Economics, Lund University"
Dan Friedkin,59,$6.4B,Automotive,Toyota dealerships,owner and ceo,The Friedkin Group,FALSE,4,3,"Houston, Texas",United States,M,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University"
Annette Lerner & family,94,$6.4B,Real Estate,Real estate,Owner,Nationals Baseball Club,FALSE,1,1,"Chevy Chase, Maryland",United States,F,Widowed,3,N/A
Rudolf Maag,78,$6.4B,Healthcare,Medical devices,Former Chairman,Straumann Holding AG,TRUE,,,"Binningen, Switzerland",Switzerland,M,Married,2,"Master of Business Administration, INSEAD"
Wolfgang Marguerre & family,82,$6.4B,Healthcare,Pharmaceuticals,Chairman and Owner,Octapharma Group,TRUE,,,"Heidelberg, Germany",Germany,M,Married,3,"Bachelor of Arts/Science, Heidelberg University, Master of Business Administration, INSEAD"
Magdalena Martullo-Blocher,55,$6.4B,Manufacturing,Chemicals,Executive Vice Chairman,Ems-Chemie,FALSE,,,"Feldmeilen, Switzerland",Switzerland,F,Married,3,"Master of Business Administration, University of St. Gallen"
Robert Pera,46,$6.4B,Technology,Wireless networking,Chief Executive Officer,Ubiquiti,TRUE,8,1,"San Jose, California",United States,M,Single,N/A,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego"
Miuccia Prada,74,$6.4B,Fashion & Retail,Luxury goods,"CEO, Fashion Designer",Prada,FALSE,,,"Milan, Italy",Italy,F,Married,2,"Doctorate, University of Milan; Doctorate in Pedagogical Sciences, University of Milan"
Gary Rollins,79,$6.4B,Service,Pest control,CEO,"Rollins, Inc",FALSE,3,2,"Atlanta, Georgia",United States,M,Divorced,4,"Bachelor of Arts/Science, University of Tennessee Chattanooga"
Dmitry Rybolovlev & family,57,$6.4B,Manufacturing,Fertilizer,Chairman,Uralkali,TRUE,,,"Monaco, Monaco",Russia,M,Divorced,2,"Medical Doctor, Perm Medical Institute"
Teddy Sagi,52,$6.4B,Gambling & Casinos,Gambling software,Founder,Playtech,TRUE,,,"Tel Aviv, Israel",Israel,M,In Relationship,6,N/A
Helmut Sohmen,84,$6.4B,Logistics,Shipping,Chairman,BW Group,FALSE,,,"Hong Kong, Hong Kong",Austria,M,Married,3,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, University of Vienna"
Takahisa Takahara,62,$6.4B,Fashion & Retail,Personal care goods,Chief Executive,Unicharm,FALSE,,,"Tokyo, Japan",Japan,M,N/A,N/A,N/A
Maximilian Viessmann,35,$6.4B,Manufacturing,"Heating, cooling equipment",CEO,Viessmann Group,FALSE,,,"Battenberg, Germany",Germany,M,N/A,N/A,"Bachelor of Science, TU Darmstadt, Master of Science, Karlsruhe Institute of Technology"
Maria Asuncion Aramburuzabala & family,60,$6.3B,Food & Beverage,"Beer, investments",Ex-CEO,Tresalia Capital,FALSE,,,"Mexico City, Mexico",Mexico,F,Divorced,2,"Bachelor of Arts/Science, Instituto Tecnológico Autónomo de México"
Alexandre Behring,57,$6.3B,Finance & Investments,Investments,Co-Founder,3G Capital,TRUE,,,"Greenwich, Connecticut",Brazil,M,Married,N/A,"Master of Business Administration, Harvard University"
Neil Bluhm,86,$6.3B,Real Estate,Real estate,Co-Founder,"JMB Realty, Walton Street Capital, and Rush Street Gaming",TRUE,10,2,"Chicago, Illinois",United States,M,Divorced,3,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
Cao Renxian,55,$6.3B,Energy,Photovoltaic equipment,Founder,Sungrow,TRUE,,,"Hefei, China",China,M,Married,N/A,"Bachelor of Science, Hefei University of Technology, Master of Science, Hefei University of Technology, Doctor of Philosophy, Hefei University of Technology"
Cho Jung-ho,65,$6.3B,Finance & Investments,Finance,Chairman,Meritz Financial Group,FALSE,,,"Seoul, South Korea",South Korea,M,Married,3,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California"
Ding Shizhong,53,$6.3B,Fashion & Retail,Sports apparel,Chairman,Anta Sports Products,TRUE,,,"Quanzhou, China",China,M,Married,2,"Master of Business Administration, Xiamen University"
Marcos Galperin,52,$6.3B,Technology,E-commerce,Founder and CEO,MercadoLibre,TRUE,8,,"Buenos Aires, Argentina",Argentina,M,N/A,N/A,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Arthur Irving,94,$6.3B,Energy,Oil,Chairman,Irving Oil,FALSE,,,"Saint John, Canada",Canada,M,Married,5,N/A
Michael Kadoorie,82,$6.3B,Energy,"Hotels, energy",Chairman,CLP Group,FALSE,,,"Hong Kong, Hong Kong",Hong Kong,M,Widowed,3,N/A
Joe Lewis,87,$6.3B,Finance & Investments,Investments,Former Chairman,Tavistock Group,TRUE,,,"Orlando, Florida",United Kingdom,M,Married,2,N/A
Ma Jianrong,60,$6.3B,Fashion & Retail,"Textiles, apparel",Founder,Shenzhou International Group Holdings Limited,TRUE,,,"Ningbo, China",China,M,Married,N/A,N/A
Pierre Omidyar,56,$6.3B,Technology,"EBay, PayPal",Founder,eBay,TRUE,8,5,"Honolulu, Hawaii",United States,M,Married,3,"Bachelor of Arts/Science, Tufts University"
Qi Shi & family,54,$6.3B,Technology,Financial information,Chairman,East Money Information,TRUE,,,"Shanghai, China",China,M,Married,N/A,"Master of Business Administration, Fudan University; Bachelor of Arts/Science, Shanghai Jiaotong University"
Don Vultaggio & family,72,$6.3B,Food & Beverage,Beverages,Founder,AriZona Beverages,TRUE,10,1,"Port Washington, New York",United States,M,Married,2,"High School Graduate, High School"
Wang Jianlin,69,$6.3B,Real Estate,Real estate,Chairman,Dalian Wanda Group,TRUE,,,"Beijing, China",China,M,Married,1,Liaoning University
Stef Wertheimer & family,97,$6.3B,Manufacturing,Metalworking tools,Founder,Iscar Metalworking,TRUE,,,"Tel Aviv, Israel",Israel,M,Married,4,N/A
Dona Bertarelli,56,$6.2B,Healthcare,Biotech and investments,Co-Chair,Bertarelli Foundation,FALSE,,,"Gstaad, Switzerland",Switzerland,F,N/A,N/A,"Bachelor of Science, Boston University"
Murali Divi & family,73,$6.2B,Healthcare,Pharmaceuticals,Managing Director,Divi's Laboratories,TRUE,,,"Hyderabad, India",India,M,Married,2,"Bachelor of Pharmacy, Manipal Academy of Higher Education"
Stanley Druckenmiller,70,$6.2B,Finance & Investments,Hedge funds,Founder,Duquesne Family Office,TRUE,8,3,"New York, New York",United States,M,Married,N/A,"Bachelor of Arts/Science, Bowdoin College"
Frits Goldschmeding,90,$6.2B,Service,Temp agency,Founder and Former CEO,Randstad NV,TRUE,,,"Amsterdam, Netherlands",Netherlands,M,Married,3,"Doctorate, Free University of Amsterdam"
Patrick Soon-Shiong,71,$6.2B,Healthcare,Pharmaceuticals,Founder and CEO,NantWorks,TRUE,9,2,"Los Angeles, California",United States,M,Married,2,"Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand"
Daniel Ziff,52,$6.2B,Finance & Investments,Investments,Co-founder,Ziff Brothers Investments,FALSE,4,1,"New York, New York",United States,M,Married,4,"Bachelor of Arts/Science, Columbia University"
Dirk Ziff,60,$6.2B,Finance & Investments,Investments,Owner,World Surf League,FALSE,4,1,"North Palm Beach, Florida",United States,M,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University"
Robert Ziff,57,$6.2B,Finance & Investments,Investments,Co-founder,Ziff Brothers Investments,FALSE,4,1,"New York, New York",United States,M,Married,2,"Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University"
Gayle Benson,77,$6.1B,Sports,New Orleans Saints,Owner,New Orleans Saints and New Orleans Pelicans,FALSE,1,2,"New Orleans, Louisiana",United States,F,Widowed,N/A,"High School Graduate, High School"
Todd Boehly,50,$6.1B,Finance & Investments,Finance,"Co-founder, Chairman, and CEO",Eldridge Industries,TRUE,7,,"Darien, Connecticut",United States,M,Married,3,"Bachelor of Business Administration, College of William & Mary"
Philippe Laffont,56,$6.1B,Finance & Investments,Hedge fund,Founder,Coatue Management,TRUE,8,1,"New York, New York",United States,M,Married,N/A,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
Charles Liang,66,$6.1B,Technology,Computer hardware,President,Supermicro,TRUE,,,"San Jose, California",United States,M,Married,N/A,"Bachelor of Science in Engineering, National Taiwan University; Master of Science in Engineering, University Of Texas At Arlington"
Liang Wengen,67,$6.1B,Manufacturing,Construction equipment,Founder,Sany Heavy Industry,TRUE,,,"Changsha, China",China,M,Married,1,"Bachelor of Arts/Science, Central South University"
Blair Parry-Okeden,73,$6.1B,Media & Entertainment,"Media, automotive",Co-owner,Cox Enterprises,FALSE,1,2,"New South Wales, Australia",United States,F,Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver"
Karen Pritzker,66,$6.1B,Finance & Investments,"Hotels, investments",Co-owner,Hyatt Hotels Corporation,FALSE,3,2,"Branford, Connecticut",United States,F,Widowed,4,"Bachelor of Arts/Science, Northwestern University"
Paul Singer,79,$6.1B,Finance & Investments,Hedge funds,Investor,Elliott Management,TRUE,8,2,"New York, New York",United States,M,In Relationship,2,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester"
Zhou Qunfei,54,$6.1B,Technology,Smartphone screens,Founder and CEO,Lens Technology,TRUE,,,"Hong Kong, Hong Kong",Hong Kong,F,Married,N/A,N/A
Rafael Del Pino,65,$6B,Construction & Engineering,Construction,Chairperson,Ferrovial,FALSE,,,"Madrid, Spain",Spain,M,Divorced,6,"Master of Business Administration, MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid"
Ding Shijia,60,$6B,Fashion & Retail,Sports apparel,Deputy Chairman,Anta Sports Products Ltd.,TRUE,,,"Quanzhou, China",China,M,Married,N/A,N/A
William Goldring & family,81,$6B,Food & Beverage,Liquor,Chairman,Sazerac Company,FALSE,5,,"New Orleans, Louisiana",United States,M,N/A,3,"Master of Arts, Tulane University"
Jim Kennedy,76,$6B,Media & Entertainment,"Media, automotive",Chairman Emeritus,Cox Enterprises,FALSE,4,3,"Atlanta, Georgia",United States,M,Married,3,"Bachelor of Arts/Science, University of Denver"
Leo Koguan,69,$6B,Technology,IT provider,Chairman and Co-founder,SHI International,TRUE,8,2,"Singapore, Singapore",United States,M,Divorced,1,"Master, Columbia University; Law Degree, New York Law School"
Kjeld Kirk Kristiansen,76,$6B,Manufacturing,Lego,Former President and CEO,The Lego Group,FALSE,,,"Billund, Denmark",Denmark,M,Married,3,"Bachelor of Arts/Science, Aarhus Business School; Master of Business Administration, International Institute for Management and Development"
Rajan Mittal,64,$6B,Telecom,Telecom,Vice Chairman and Managing Director,Bharti Enterprises,FALSE,,,"Delhi, India",India,M,Married,N/A,"Bachelor of Arts/Science, Punjab University"
Rakesh Mittal,68,$6B,Telecom,Telecom,Vice Chairman,Bharti Enterprises,FALSE,,,"Delhi, India",India,M,Married,N/A,"Bachelor of Arts/Science, Punjab University"
Thomas Straumann,60,$6B,Healthcare,Dental implants,CEO and Chairman,Straumann Holding AG,FALSE,,,"Basel, Switzerland",Switzerland,M,N/A,N/A,N/A
Mark Walter,63,$6B,Finance & Investments,"Finance, asset management",CEO,Guggenheim Partners LLC,TRUE,8,2,"Chicago, Illinois",United States,M,Married,1,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University"
Kelcy Warren,68,$6B,Energy,Pipelines,Executive Chairman,Energy Transfer LP,TRUE,9,2,"Dallas, Texas",United States,M,Married,1,"Bachelor of Arts/Science, University of Texas Arlington"
Les Wexner & family,86,$6B,Fashion & Retail,Retail,Founder and Chairman Emeritus,"Bath & Body Works, Inc",TRUE,8,3,"New Albany, Ohio",United States,M,Married,4,"Bachelor of Arts/Science, Ohio State University"
Pierre Chen,67,$5.9B,Technology,Electronics,Founder and Chairman,Yageo Corporation,TRUE,,,"Taipei, Taiwan",Taiwan,M,Divorced,3,"Bachelor of Arts/Science, National Cheng Kung University"
